bus,tech,timestamp,p_max_pu
DE0,biomass,2021-01-18 00:00:00,1.0
DE0,biomass,2021-01-18 03:00:00,1.0
DE0,biomass,2021-01-18 06:00:00,1.0
DE0,biomass,2021-01-18 09:00:00,1.0
DE0,biomass,2021-01-18 12:00:00,1.0
DE0,biomass,2021-01-18 15:00:00,1.0
DE0,biomass,2021-01-18 18:00:00,1.0
DE0,biomass,2021-01-18 21:00:00,1.0
DE0,biomass,2021-01-19 00:00:00,1.0
DE0,biomass,2021-01-19 03:00:00,1.0
DE0,biomass,2021-01-19 06:00:00,1.0
DE0,biomass,2021-01-19 09:00:00,1.0
DE0,biomass,2021-01-19 12:00:00,1.0
DE0,biomass,2021-01-19 15:00:00,1.0
DE0,biomass,2021-01-19 18:00:00,1.0
DE0,biomass,2021-01-19 21:00:00,1.0
DE0,biomass,2021-01-20 00:00:00,1.0
DE0,biomass,2021-01-20 03:00:00,1.0
DE0,biomass,2021-01-20 06:00:00,1.0
DE0,biomass,2021-01-20 09:00:00,1.0
DE0,biomass,2021-01-20 12:00:00,1.0
DE0,biomass,2021-01-20 15:00:00,1.0
DE0,biomass,2021-01-20 18:00:00,1.0
DE0,biomass,2021-01-20 21:00:00,1.0
DE0,biomass,2021-01-21 00:00:00,1.0
DE0,biomass,2021-01-21 03:00:00,1.0
DE0,biomass,2021-01-21 06:00:00,1.0
DE0,biomass,2021-01-21 09:00:00,1.0
DE0,biomass,2021-01-21 12:00:00,1.0
DE0,biomass,2021-01-21 15:00:00,1.0
DE0,biomass,2021-01-21 18:00:00,1.0
DE0,biomass,2021-01-21 21:00:00,1.0
DE0,biomass,2021-01-22 00:00:00,1.0
DE0,biomass,2021-01-22 03:00:00,1.0
DE0,biomass,2021-01-22 06:00:00,1.0
DE0,biomass,2021-01-22 09:00:00,1.0
DE0,biomass,2021-01-22 12:00:00,1.0
DE0,biomass,2021-01-22 15:00:00,1.0
DE0,biomass,2021-01-22 18:00:00,1.0
DE0,biomass,2021-01-22 21:00:00,1.0
DE0,biomass,2021-01-23 00:00:00,1.0
DE0,biomass,2021-01-23 03:00:00,1.0
DE0,biomass,2021-01-23 06:00:00,1.0
DE0,biomass,2021-01-23 09:00:00,1.0
DE0,biomass,2021-01-23 12:00:00,1.0
DE0,biomass,2021-01-23 15:00:00,1.0
DE0,biomass,2021-01-23 18:00:00,1.0
DE0,biomass,2021-01-23 21:00:00,1.0
DE0,biomass,2021-01-24 00:00:00,1.0
DE0,biomass,2021-01-24 03:00:00,1.0
DE0,biomass,2021-01-24 06:00:00,1.0
DE0,biomass,2021-01-24 09:00:00,1.0
DE0,biomass,2021-01-24 12:00:00,1.0
DE0,biomass,2021-01-24 15:00:00,1.0
DE0,biomass,2021-01-24 18:00:00,1.0
DE0,biomass,2021-01-24 21:00:00,1.0
DE0,biomass,2021-01-25 00:00:00,1.0
DE0,biomass,2021-01-25 03:00:00,1.0
DE0,biomass,2021-01-25 06:00:00,1.0
DE0,biomass,2021-01-25 09:00:00,1.0
DE0,biomass,2021-01-25 12:00:00,1.0
DE0,biomass,2021-01-25 15:00:00,1.0
DE0,biomass,2021-01-25 18:00:00,1.0
