technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing_losses,temperature difference,wood-input,yield-biochar,capital_cost,marginal_cost
Pumped-Storage-Hydro-store,,,,0.0,,0.43,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,71761.1936,60.0,,,,,,,,,,,,,0.0,,,,207.89299515043655,0.0
SMR,,,,0.0,,5.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.76,,,,,,,,,0.0,,,,,,659179.2942,30.0,,,,,,,,,,,,,0.0,,,,3301.693003232848,0.0
SMR CC,,,,0.0,,5.0,,,0.0,,,,,,0.9,,,,,,,,0.07,,,,0.69,,,,,,,,,0.0,,,,,,764647.9813,30.0,,,,,,,,,,,,,0.0,,,,3829.9638838903493,0.0
SOEC,,,,0.0,,4.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.11,,0.0,,,,,,2552337.7,30.0,,,,,,,,,,,,,0.0,,,,11805.153789160277,0.0
Sand-charger,,,,0.0,,1.075,,,0.0,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,181297.9281,35.0,,,,,,,,,,,,,0.0,,,,611.8310527824001,0.0
Sand-discharger,,,,0.0,,0.2688,,,0.0,,,,,,,,,,,,,,0.07,,,,0.53,,,,,,,,,0.0,,,,,,725191.7123,35.0,,,,,,,,,,,,,0.0,,,,2223.0750650828772,0.0
Sand-store,,,,0.0,,0.3308,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,8425.2126,35.0,,,,,,,,,,,,,0.0,,,,26.027846207366114,0.0
Steam methane reforming,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,627941.6326,30.0,,1.483,,,,,,,,,,,0.0,,,,2663.5213553364756,0.0
"Tank&bulk, diesel",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.462,,,,,,,,,0.0,,,,,,44169300.0,25.0,,,,,,,,,,,,,0.0,,,,145377.16902971626,0.0
"Tank&bulk, methanol",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.4695,,,,,,,,,0.0,,,,,,44169300.0,25.0,,,,,,,,,,,,,0.0,,,,145377.16902971626,0.0
"Tankbulk, ammonia",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.471,,,,,,,,,0.0,,,,,,44169300.0,25.0,,,,,,,,,,,,,0.0,,,,145377.16902971626,0.0
Vanadium-Redox-Flow-bicharger,,,,0.0,,2.4395,,,0.0,,,,,,,,,,,,,,0.07,,,,0.8062,,,,,,,,,0.0,,,,,,162225.1483,12.0,,,,,,,,,,,,,0.0,,,,935.1981310423494,0.0
Vanadium-Redox-Flow-store,,,,0.0,,0.2345,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,324483.9347,12.0,,,,,,,,,,,,,0.0,,,,1596.1567805230195,0.0
Zn-Air-bicharger,,,,0.0,,2.4395,,,0.0,,,,,,,,,,,,,,0.07,,,,0.7937,,,,,,,,,0.0,,,,,,162225.1483,25.0,,,,,,,,,,,,,0.0,,,,685.7355869709851,0.0
Zn-Air-store,,,,0.0,,0.1654,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,219264.0846,25.0,,,,,,,,,,,,,0.0,,,,735.5878965676234,0.0
Zn-Br-Flow-bicharger,,,,0.0,,2.1198,,,0.0,,,,,,,,,,,,,,0.07,,,,0.8307,,,,,,,,,0.0,,,,,,102540.0181,10.0,,,,,,,,,,,,,0.0,,,,643.3492880693918,0.0
Zn-Br-Flow-store,,,,0.0,,0.2576,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,518407.3478,10.0,,,,,,,,,,,,,0.0,,,,2882.2724729999572,0.0
Zn-Br-Nonflow-bicharger,,,,0.0,,2.4395,,,0.0,,,,,,,,,,,,,,0.07,,,,0.8888,,,,,,,,,0.0,,,,,,162225.1483,15.0,,,,,,,,,,,,,0.0,,,,834.972725326547,0.0
Zn-Br-Nonflow-store,,,,0.0,,0.2244,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,300780.3155,15.0,,,,,,,,,,,,,0.0,,,,1292.5648778097743,0.0
air separation unit,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.25,,0.0,,,,,,649585.8482,30.0,,,,,,,,,,,,,0.0,,,,2755.3289812003745,0.0
allam,,,,0.0,,0.0,,,2.5147,,,,,,,,,,,,,,0.07,,,,0.6,,,,,,,,,0.0,,,,,,1886001.9,30.0,,,,,,,,,,,,,0.0,,,,5829.604224399214,2.5147
ammonia carbon capture retrofit,,,,0.0,,5.0,,,0.0,,,,,,0.99,,,,,,,,0.07,,,,1.0,,,,,,,0.1,,0.0,,,,,,1169010.6551,20.0,,,,,,,,,,,,,0.0,,,,6474.400443860291,0.0
battery inverter,,,,0.0,,0.9,,,0.0,,,,,,,,,,,,,,0.07,,,,0.96,,,,,,,,,0.0,,,,,,80223.0,10.0,,,,,,,,,,,,,0.0,,,,465.7956263511322,0.0
battery storage,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,100278.7,30.0,,,,,,,,,,,,,0.0,,,,309.95999162952137,0.0
biochar pyrolysis,,,,0.0,,3.4,,,1035.4112,,,,,,,,,,,,,,0.07,,,,1.0,0.404,,,0.4848,,,,,0.0,,,,,,161783003.39999998,25.0,,,,,,,,,,,,,0.0,,,0.0582,743469.2449537913,1035.4112
biodiesel crops,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,167.3978,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,167.3978
bioethanol crops,,,,0.1289,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,114.0904,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,114.0904
biogas,,,,0.0,0.1447,7.7769,,,0.0,,,,,0.9,,,,,,,,,0.07,,,,1.0,,,,,,,,,78.8124,,,,,,1090553.2,20.0,,,,,,,,,,,,,0.0,,,,7201.436565820762,78.8124
biogas CC,,,,0.0,0.1447,7.7769,,,0.0,,,,,0.9,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1090553.2,20.0,,,,,,,,,,,,,0.0,,,,7201.436565820762,0.0
biogas manure,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,25.333,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,25.333
biogas plus hydrogen,,,,0.0,,4.0,,,2.888,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,606485.7,25.0,,,,,,,,,,,,,0.0,,,,2926.662779329107,2.888
biogas upgrading,,,,0.0,,17.0397,,,3.394,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,157386.1,20.0,,,,,,,,,,,,,0.0,,,,1598.4645267076398,3.394
biomass,,,,0.0,,4.5269,,,0.0,,,,,,,,,,,,,,0.07,,,,0.468,,,,,,,,,9.3506,,,,,,2950789.1,30.0,,,,,,,,,,,,,0.0,,,,14244.434356146961,19.979914529914527
biomass CHP,,,,0.0,,3.5368,,,2.8049,,0.4564,1.0,,,,,,,,,,,0.07,,,,0.3003,,,,0.7083,,,,,0.0,,,,,,3890182.4000000004,25.0,,,,,,,,,,,,,0.0,,,,18081.346546024724,2.8049
biomass CHP capture,,,,0.0,,3.0,,,0.0,,,,,,0.95,,,,,,0.075,0.13,0.07,,,,1.0,,,,,,,0.02,,0.0,,,0.66,0.66,,2514669.2023,25.0,,,,,,,,,,,,,0.0,,,,11170.27937918187,0.0
biomass EOP,,,,0.0,,3.5368,,,2.8049,,0.4564,1.0,,,,,,,,,,,0.07,,,,0.3003,,,,0.7083,,,,,0.0,,,,,,3890182.4000000004,25.0,,,,,,,,,,,,,0.0,,,,18081.346546024724,2.8049
biomass HOP,,,,0.0,,5.6957,,,4.1663,,,,,,,,,,,,,,0.07,,,,0.03,,,,,,,,,0.0,,,,,,1006128.9,25.0,,,,,,,,,,,,,0.0,,,,5509.576303554605,4.1663
biomass boiler,,,,0.0,,7.5412,,,0.0,,,,,,,,,,,,,,0.07,,,,0.88,,,,,,,,,0.0,,,,,,784600.0,20.0,,,,,,,,,,9.0,,,0.0,,,,5110.151305025254,0.0
biomass-to-methanol,,0.44,0.56,0.0,0.2053,2.6667,,,18.1877,,,,,0.9,,,,,,,,,0.07,,,,0.65,,,0.02,0.22,,,,,0.0,,,,,,1952847.5,20.0,,,,,,,,,,,,,0.0,,,,9067.841169125026,18.1877
blast furnace-basic oxygen furnace,,,,0.0,,14.18,,,0.0,,,,,,,,,,5.34,,,,0.07,,,20.0,1.0,,,,,,,,,0.0,,,,,,9602774.8268,40.0,,,,,,,,1.539,,,0.051,,0.0,,,,79856.3582847662,0.0
cement capture,,,,0.0,,3.0,,,0.0,,,,,,0.95,,,,,,0.075,0.13,0.07,,,,1.0,,,,,,,0.018,,0.0,,,0.66,1.48,,2263202.2821,25.0,,,,,,,,,,,,,0.0,,,,10053.251441396944,0.0
cement carbon capture retrofit,,,,0.0,,7.0,,,0.0,,,,,,0.9,,,,,,,,0.07,,,,1.0,,,,,,,0.16,,0.0,0.76,,,,,3253638.9129,20.0,,,,,,,,,,,,,0.0,,,,20515.76187082826,0.0
cement dry clinker,,,,0.0,,4.0,,,6.679,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.0694,,0.0,0.0002,,0.9444,,,1462704.4046,30.0,,,,,,,,,,,,,0.0,,,,6765.347095090558,6.679
cement finishing,,,,0.0,,30.0,,,4.0074,,,,,,,,,0.656,,,,,0.07,,,,1.0,,,,,,,0.1736,,0.0,,,,,,117016.3524,25.0,,,,,,,,,,,,0.194,0.0,,,,1731.6327457481523,4.0074
central air-sourced heat pump,,,,0.0,,0.2336,,,3.5666,,,,,,,,,,,,,,0.07,,,,3.4,,,,,,,,,0.0,,,,,,1143777.1,25.0,,,,,,,,,,,,,0.0,,,,3867.067259683676,3.5666
central coal CHP,,,,0.0,,1.6316,,,3.6371,,1.01,0.15,,,,,,,,,,,0.07,,,,0.535,,,,,,,,,0.0,,,,,,2382905.0,25.0,,,,,,,,,,,,,0.0,,,,9334.271340405321,3.6371
central excess-heat-sourced heat pump,,,,0.0,,0.3504,,,2.2575,,,,,,,,,,,,,,0.07,,,,5.5,,,,,,,,,0.0,,,,,,762518.0,25.0,,,,,,,,,,,,,0.0,,,,2612.20542079163,2.2575
central gas CHP,,,,0.0,,3.4615,,,5.3432,,1.0,0.17,,,,,,,,,,,0.07,,,,0.43,,,,,,,,,0.0,,,,,,694617.6000000001,25.0,,,,,,,,,1.0,,,,0.0,,,,3208.4810205700933,5.3432
central gas CHP CC,,,,0.0,,3.4615,,,5.3432,,1.0,,,,,,,,,,,,0.07,,,,0.43,,,,,,,,,0.0,,,,,,694617.6000000001,25.0,,,,,,,,,,,,,0.0,,,,3208.4810205700933,5.3432
central gas boiler,,,,0.0,,3.4,,,1.3358,,,,,,,,,,,,,,0.07,,,,1.04,,,,,,,,,0.0,,,,,,66790.2,25.0,,,,,,,,,,,,,0.0,,,,306.932486854257,1.3358
central geothermal heat source,,,,0.0,,0.8477,,,5.8023,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,3324848.8000000003,30.0,,,,,,,,,,,,,0.0,,,,11358.117545286777,5.8023
central ground-sourced heat pump,,,,0.0,,0.4378,,,1.9081,,,,,,,,,,,,,,0.07,,,,1.75,,,,,,,,,0.0,,,,,,610248.2999999999,25.0,,,,,,,,,,,,,0.0,,,,2111.023151748073,1.9081
central hydrogen CHP,,,,0.0,,5.0,,,0.0,,1.25,,,,,,,,,,,,0.07,,,,0.5,,,,,,,,,0.0,,,,,,1068642.5,10.0,,,,,,,,,,,,,0.0,,,,7885.366729908464,0.0
central resistive heater,,,,0.0,,1.5333,,,1.3358,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,80148.2,20.0,,,,,,,,,,,,,0.0,,,,337.31697584432453,1.3358
central solar thermal,,,,0.0,,1.4,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,187012.4353,20.0,,,,,,,,,,,,,0.0,,,,777.5110963713323,0.0
central solid biomass CHP,,,,0.0,,2.8518,,,6.235,,0.3423,1.0,,,,,,,,,,,0.07,,,,0.2652,,,,0.8294,,,,,0.0,,,,,,4215728.5,25.0,,,,,,,,,1.0,,,,0.0,,,,18486.82695270852,6.235
central solid biomass CHP CC,,,,0.0,,2.8518,,,6.235,,0.3423,1.0,,,,,,,,,,,0.07,,,,0.2652,,,,0.8294,,,,,0.0,,,,,,6003161.0,25.0,,,,,,,,,,,,,0.0,,,,26325.082029416426,6.235
central solid biomass CHP powerboost CC,,,,0.0,,2.8518,,,6.235,,0.3423,1.0,,,,,,,,,,,0.07,,,,0.2652,,,,0.8294,,,,,0.0,,,,,,4215728.5,25.0,,,,,,,,,,,,,0.0,,,,18486.82695270852,6.235
central water pit charger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,0.025
central water pit discharger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,0.0
central water pit storage,35.0,,,0.0,,0.2769,,90.0,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,22.5,0.0,,,,,,1135.2,30.0,,,,,,,,,,,,,0.0078,,,,3.6294541285517474,0.0
central water tank charger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,0.0
central water tank discharger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,0.0
central water tank storage,,,,0.0,,1.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,60.3448,0.0,,,,,,3817.4,40.0,,,,,,,,,,,,,0.0077,55.0,,,12.447107984399125,0.0
clean water tank storage,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,87.4355,30.0,,,,,,,,,,,,,0.0,,,,0.33733565692805667,0.0
coal,,,,0.3361,,1.31,,,4.1005,,,,,,,,,,,,,,0.07,,,,0.356,,,,,,,,,6.7204,,,,,,4812024.4,40.0,,,,,,,,,,,,,0.0,,,,16262.374152655397,22.97802808988764
csp-tower,,,,0.0,,1.4,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,124953.90000000001,30.0,,,,,,,,,,,,,0.0,,,,453.329205697585,0.0
csp-tower TES,,,,0.0,,1.4,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,16747.699999999997,30.0,,,,,,,,,,,,,0.0,,,,60.76018066071921,0.0
csp-tower power block,,,,0.0,,1.4,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,875356.3,30.0,,,,,,,,,,,,,0.0,,,,3175.767832627688,0.0
decentral CHP,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.04,,,,1.0,,,,,,,,,0.0,,,,,,1870124.4,25.0,,,,,,,,,,,,,0.0,,,,6743.553197215808,0.0
decentral air-sourced heat pump,,,,0.0,,3.1413,,,0.0,,,,,,,,,,,,,,0.04,,,,3.8,,,,,,,,,0.0,,,,,,1015210.4,18.0,,,,,,,,,,,,,0.0,,,,4299.175714549918,0.0
decentral gas boiler,,,,0.0,,6.7293,,,0.0,,,,,,,,,,,,,,0.04,,,,0.99,,,,,,,,,0.0,,,,,,358674.3,20.0,,,,,,,,,,,,,0.0,,,,1938.0661218223017,0.0
decentral gas boiler connection,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,224171.4,50.0,,,,,,,,,,,,,0.0,,,,623.0355145511367,0.0
decentral ground-sourced heat pump,,,,0.0,,1.9895,,,0.0,,,,,,,,,,,,,,0.04,,,,4.05,,,,,,,,,0.0,,,,,,1602963.7,20.0,,,,,,,,,,,,,0.0,,,,5747.281441070059,0.0
decentral oil boiler,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,0.0,,,,,,208404.1,20.0,,,,,,,,,,,,,0.0,,,,914.409222746467,0.0
decentral resistive heater,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.04,,,,0.9,,,,,,,,,0.0,,,,,,133580.3,20.0,,,,,,,,,,,,,0.0,,,,479.47807114500483,0.0
decentral solar thermal,,,,0.0,,1.3,,,0.0,,,,,,,,,,,,,,0.04,,,,1.0,,,,,,,,,0.0,,,,,,360666.8395,20.0,,,,,,,,,,,,,0.0,,,,1197.754321894973,0.0
decentral water tank charger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,0.0
decentral water tank discharger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,0.0
decentral water tank storage,,,,0.0,,1.0,,,1.5451,,,,,,,,,,,,,,0.04,,,,1.0,,,,,,,,0.15,0.0,,,,,,527907.2999999999,30.0,,,,,,,,,,,,,2.1,30.0,,,1373.4577065571746,1.5451
digestible biomass,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,21.664,,,,,,0.0,25.0,,,,,,,,,,,,,0.0,,,,0.0,21.664
digestible biomass to hydrogen,,,,0.0,,4.25,,,0.0,,,,,0.9,,,,,,,,,0.07,,,,0.39,,,,,,,,,0.0,,,,,,3342847.3,25.0,,,,,,,,,,,,,0.0,,,,16451.820615720215,0.0
direct air capture,,,,0.0,,4.95,,,0.0,,,,,,,,,,,,0.15,0.2,0.07,,,,1.0,,,,,,,0.4,,0.0,,,1.6,0.75,,5029338.4046,20.0,,,,,,,,,,,,,0.0,,,,27757.827524031138,0.0
direct firing gas,,,,0.0,,1.0303,,,0.3545,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,18992.0,15.0,,,,,,,,,,,,,0.0,,,,87.486348593154,0.3545
direct firing gas CC,,,,0.0,,1.0303,,,0.3545,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,18992.0,15.0,,,,,,,,,,,,,0.0,,,,87.486348593154,0.3545
direct firing solid fuels,,,,0.0,,1.4091,,,0.4214,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,278549.89999999997,15.0,,,,,,,,,,,,,0.0,,,,1323.6071156346309,0.4214
direct firing solid fuels CC,,,,0.0,,1.4091,,,0.4214,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,278549.89999999997,15.0,,,,,,,,,,,,,0.0,,,,1323.6071156346309,0.4214
dry bulk carrier Capesize,,,,0.0,,4.0,,,0.0,,,,180000.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,50293384.0456,25.0,,,,,,,,,,,,,0.0,,,,242696.20064044688,0.0
electric arc furnace,,,,0.0,,30.0,,,0.0,,,,,,,,,,,,,,0.07,,,20.0,1.0,,,,,,,0.6395,,0.0,,1.0,,,,2312992.7323,40.0,,,,,,,,,,,,,0.0,,,,33269.88432506956,0.0
